Label,k_eps,Slope_ENG,Slope_EST,R2_ENG,R2_EST,Deviation_ENG(%),Deviation_EST(%)
1.0,10.960478360887263,-1.352382201947038,-5.3813625982274305,0.9999999999999996,0.997831407649746,18.857067883177724,34.534064955685764
5.0,6.010584907583338,-2.110007657428685,-3.5688284294967816,0.7363259681314487,0.9973517751026962,26.600459445721082,10.77928926258046
10.0,5.303457271397063,-2.873899512968528,-3.565303388272269,0.958576087370219,0.9953791842377163,72.43397077811167,10.867415293193272
15.0,3.889201999024513,-2.6239996625494872,-3.7146300429374217,0.9483678135997385,0.9961672055952808,57.43997975296923,7.134248926564457
20.0,3.1820743628382377,-2.495029183803154,-3.978873748886976,0.9468520408470784,0.9923456490796937,49.70175102818924,0.5281562778255977
25.0,3.1820743628382377,-2.5472250175400895,-4.120254079560469,0.8589945890457318,0.993798468354787,52.83350105240536,3.006351989011735
30.0,3.1820743628382377,-2.4948465437679936,-4.366479462494796,0.9222337395478353,0.993031141230965,49.69079262607961,9.161986562369906
35.0,3.1820743628382377,-2.6429308923180534,-4.508936226867144,0.9594874132884282,0.9931490427708277,58.5758535390832,12.7234056716786
40.0,3.1820743628382377,-2.6103588743811854,-4.6460913678300315,0.9174144870648567,0.989774627523567,56.621532462871116,16.152284195750788
45.0,3.1820743628382377,-2.504415225097502,-4.997539222410448,0.8973981131714457,0.9902973092060571,50.2649135058501,24.9384805602612
50.0,1.7678190904656876,-1.9880017444730729,-5.279639448670515,0.927225156449949,0.9860575619678834,19.280104668384368,31.990986216762884
70.0,1.0606914542794126,-1.7535158261117234,-5.500600871065106,0.8636595143512714,0.987214161636707,5.2109495667034,37.51502177662764
90.0,1.0606914542794126,-1.949002588147127,-5.709228648603001,0.9238395435684095,0.9805346061435952,16.94015528882761,42.73071621507503
110.0,1.0606914542794126,-1.9554456915727216,-6.032419383509862,0.9161121382281701,0.981389248453116,17.326741494363294,50.81048458774655
130.0,1.7678190904656876,-2.3219349981399375,-5.607025524938152,0.9403593242081628,0.9891147373185735,39.316099888396245,40.175638123453794
150.0,1.0606914542794126,-2.2231203561678012,-5.322789473364183,0.9208555264167286,0.9294596304564174,33.38722137006807,33.06973683410457
