Label,k_eps,Slope_ENG,Slope_EST,R2_ENG,R2_EST,Deviation_ENG(%),Deviation_EST(%)
1.0,10.960478360887263,-1.352382201947038,-5.107344198587611,0.9999999999999996,0.9960567596756119,18.857067883177724,27.683604964690268
5.0,6.010584907583338,-2.110007657428685,-3.552365743858978,0.7363259681314487,0.9935496520333911,26.600459445721082,11.190856403525551
10.0,5.303457271397063,-2.873899512968528,-3.5548922863558072,0.9585760873702186,0.9917715262551996,72.43397077811167,11.12769284110482
15.0,3.889201999024513,-2.6239996625494877,-3.7577283388107303,0.948367813599739,0.9957607529730318,57.43997975296925,6.056791529731742
20.0,3.1820743628382377,-2.495029183803154,-3.9918509121645434,0.9468520408470784,0.9916637731239788,49.70175102818924,0.2037271958864162
25.0,3.1820743628382377,-2.5472250175400895,-4.10651500070621,0.8589945890457316,0.994134794194893,52.83350105240536,2.662875017655253
30.0,3.1820743628382377,-2.4948465437679936,-4.310947947409292,0.9222337395478353,0.993509714089513,49.69079262607961,7.7736986852323
35.0,3.1820743628382377,-2.6429308923180534,-4.426316657926087,0.9594874132884282,0.9936929646336934,58.5758535390832,10.657916448152172
40.0,3.1820743628382377,-2.6103588743811854,-4.529364367766373,0.9174144870648567,0.992545113224772,56.621532462871116,13.234109194159327
45.0,3.1820743628382377,-2.5044152250975014,-4.798068832870373,0.8973981131714457,0.9920592791309574,50.264913505850075,19.951720821759334
50.0,1.7678190904656876,-1.9880017444730729,-4.971693797736058,0.927225156449949,0.9899275779565947,19.280104668384368,24.292344943401446
70.0,1.0606914542794126,-1.7535158261117234,-5.098983974114488,0.8636595143512714,0.9913522536564848,5.2109495667034,27.474599352862207
90.0,1.0606914542794126,-1.949002588147127,-5.216705258976416,0.9238395435684095,0.9871325391910503,16.94015528882761,30.41763147441039
110.0,1.0606914542794126,-1.9554456915727216,-5.554589828518135,0.9161121382281701,0.9928344386589537,17.326741494363294,38.86474571295337
130.0,1.7678190904656876,-2.3219349981399375,-5.46482503875918,0.9403593242081628,0.9933881131008547,39.316099888396245,36.6206259689795
150.0,1.0606914542794126,-2.2231203561678012,-5.878134548087479,0.9208555264167286,0.9887932811513905,33.38722137006807,46.95336370218697
